年月,日,迟到,十分钟内,早退,加班,加班时间段,数据问题
201503,1,0,False,0,0,,
201503,2,1,False,0,0,,
201503,3,0,False,0,1.0,18.5-19.5,
201503,4,0.5,True,0,0,,
201503,5,0.5,False,3,0,,
201503,6,0,False,0,0,,
201503,7,0,False,0,0,,
201503,8,0,False,0,9,13-22,
201503,9,0,False,0,2.0,18.5-20.5,
201503,10,1,False,0,0,,
201503,11,0,False,0,0,,
201503,12,1.5,False,0,0,,
201503,13,3.5,False,0,0,,
201503,14,0,False,0,0,,
201503,15,0,False,0,3.5,15-18.5,
201503,16,0.5,True,0,0,,
201503,17,0,False,0,0,,
201503,18,1,False,0,0,,
201503,19,0,False,0,0,,
201503,20,0.5,True,0,0,,
201503,21,0,False,0,0,,
201503,22,0,False,0,0,,
201503,23,0,False,0,0,,
201503,24,1,False,0,1.0,18.5-19.5,
201503,25,8,False,0,0,,
201503,26,0.5,True,0,0,,
201503,27,0.5,False,0,1.5,18.5-20,
201503,28,0,False,0,6.5,14-20.5,
201503,29,0,False,0,0,,
201503,30,0,False,0,0,,"数据有误,请检查"
201503,31,8,False,0,0,,
