考勤号码,自定义编号,姓名,出勤时间,出勤状态
15010,,...,2015-3-2 9:33,上班签到
15010,,...,2015-3-2 15:44,上班签到
15010,,...,2015-3-2 15:53,上班签到
15010,,...,2015-3-2 18:07,上班签到

15010,,...,2015-3-3 8:50,上班签到
15010,,...,2015-3-3 15:19,上班签到
15010,,...,2015-3-3 15:20,上班签到
15010,,...,2015-3-3 19:37,上班签到

15010,,...,2015-3-4 9:03,上班签到
15010,,...,2015-3-4 11:43,上班签到
15010,,...,2015-3-4 18:07,上班签到

15010,,...,2015-3-5 9:20,上班签到
15010,,...,2015-3-5 9:46,上班签到
15010,,...,2015-3-5 9:47,上班签到
15010,,...,2015-3-5 15:04,上班签到

15010,,...,2015-3-6 8:55,上班签到
15010,,...,2015-3-6 18:58,上班签到

15010,,...,2015-3-8 12:49,上班签到
15010,,...,2015-3-8 17:58,上班签到
15010,,...,2015-3-8 22:23,上班签到

15010,,...,2015-3-9 8:50,上班签到
15010,,...,2015-3-9 20:35,上班签到

15010,,...,2015-3-10 9:41,上班签到
15010,,...,2015-3-10 18:23,上班签到

15010,,...,2015-3-11 8:54,上班签到
15010,,...,2015-3-11 18:52,上班签到

15010,,...,2015-3-12 10:10,上班签到
15010,,...,2015-3-12 18:07,上班签到

15010,,...,2015-3-13 12:28,上班签到
15010,,...,2015-3-13 18:40,上班签到

15010,,...,2015-3-15 14:56,上班签到
15010,,...,2015-3-15 18:45,上班签到

15010,,...,2015-3-16 9:04,上班签到
15010,,...,2015-3-16 15:09,上班签到
15010,,...,2015-3-16 19:08,上班签到

15010,,...,2015-3-17 8:49,上班签到
15010,,...,2015-3-17 18:07,上班签到

15010,,...,2015-3-18 9:51,上班签到
15010,,...,2015-3-18 18:52,上班签到

15010,,...,2015-3-19 7:58,上班签到
15010,,...,2015-3-19 18:05,上班签到

15010,,...,2015-3-20 9:01,上班签到
15010,,...,2015-3-20 18:09,上班签到

15010,,...,2015-3-23 8:49,上班签到
15010,,...,2015-3-23 12:53,上班签到
15010,,...,2015-3-23 18:49,上班签到

15010,,...,2015-3-24 9:32,上班签到
15010,,...,2015-3-24 19:40,上班签到

15010,,...,2015-3-26 9:01,上班签到
15010,,...,2015-3-26 18:09,上班签到

15010,,...,2015-3-27 9:20,上班签到
15010,,...,2015-3-27 20:01,上班签到

15010,,...,2015-3-28 13:32,上班签到
15010,,...,2015-3-28 18:50,上班签到
15010,,...,2015-3-28 20:43,上班签到

15010,,...,2015-3-30 8:48,上班签到
